Title,Authors,Description,Thumbnail URL
"Design Patterns","Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides","The Gang of Four’s seminal catalog of 23 patterns to solve commonly occurring design problems Patterns allow designers to create more flexible, elegant, and ultimately reusable designs without having to rediscover the design solutions themselves. Highly influential, Design Patterns is a modern classic that introduces what patterns are and how they can help you design object-oriented software and provides a catalog of simple solutions for those already programming in at last one object-oriented programming language. Each pattern: Describes the circumstances in which it is applicable, when it can be applied in view of other design constraints, and the consequences and trade-offs of using the pattern within a larger design Is compiled from real systems and based on real-world examples Includes downloadable C++ source code that demonstrates how patterns can be implemented and Python From the preface: “Once you the design patterns and have had an ‘Aha!’ (and not just a ‘Huh?’) experience with them, you won't ever think about object-oriented design in the same way. You'll have insights that can make your own designs more flexible, modular, reusable, and understandable - which is why you're interested in object-oriented technology in the first place, right?”","http://books.google.com/books/content?id=6oHuKQe3TjQC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Design Patterns Explained","Alan Shalloway, James Trott","This book introduces the programmer to patterns: how to understand them, how to use them, and then how to implement them into their programs. This book focuses on teaching design patterns instead of giving more specialized patterns to the relatively few.","http://books.google.com/books/content?id=JPOaP7cyk6wC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Deep Learning","Siddhartha Bhattacharyya, Vaclav Snasel, Aboul Ella Hassanien, Satadal Saha, B. K. Tripathy","This book focuses on the fundamentals of deep learning along with reporting on the current state-of-art research on deep learning. In addition, it provides an insight of deep neural networks in action with illustrative coding examples. Deep learning is a new area of machine learning research which has been introduced with the objective of moving ML closer to one of its original goals, i.e. artificial intelligence. Deep learning was developed as an ML approach to deal with complex input-output mappings. While traditional methods successfully solve problems where final value is a simple function of input data, deep learning techniques are able to capture composite relations between non-immediately related fields, for example between air pressure recordings and English words, millions of pixels and textual description, brand-related news and future stock prices and almost all real world problems. Deep learning is a class of nature inspired machine learning algorithms that uses a cascade of multiple layers of nonlinear processing units for feature extraction and transformation. Each successive layer uses the output from the previous layer as input. The learning may be supervised (e.g. classification) and/or unsupervised (e.g. pattern analysis) manners. These algorithms learn multiple levels of representations that correspond to different levels of abstraction by resorting to some form of gradient descent for training via backpropagation. Layers that have been used in deep learning include hidden layers of an artificial neural network and sets of propositional formulas. They may also include latent variables organized layer-wise in deep generative models such as the nodes in deep belief networks and deep boltzmann machines. Deep learning is part of state-of-the-art systems in various disciplines, particularly computer vision, automatic speech recognition (ASR) and human action recognition.","http://books.google.com/books/content?id=OlXrDwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Deep Learning By Example","Ahmed Menshawy","Grasp the fundamental concepts of deep learning using Tensorflow in a hands-on manner Key Features Get a first-hand experience of the deep learning concepts and techniques with this easy-to-follow guide Train different types of neural networks using Tensorflow for real-world problems in language processing, computer vision, transfer learning, and more Designed for those who believe in the concept of 'learn by doing', this book is a perfect blend of theory and code examples Book Description Deep learning is a popular subset of machine learning, and it allows you to build complex models that are faster and give more accurate predictions. This book is your companion to take your first steps into the world of deep learning, with hands-on examples to boost your understanding of the topic. This book starts with a quick overview of the essential concepts of data science and machine learning which are required to get started with deep learning. It introduces you to Tensorflow, the most widely used machine learning library for training deep learning models. You will then work on your first deep learning problem by training a deep feed-forward neural network for digit classification, and move on to tackle other real-world problems in computer vision, language processing, sentiment analysis, and more. Advanced deep learning models such as generative adversarial networks and their applications are also covered in this book. By the end of this book, you will have a solid understanding of all the essential concepts in deep learning. With the help of the examples and code provided in this book, you will be equipped to train your own deep learning models with more confidence. What you will learn Understand the fundamentals of deep learning and how it is different from machine learning Get familiarized with Tensorflow, one of the most popular libraries for advanced machine learning Increase the predictive power of your model using feature engineering Understand the basics of deep learning by solving a digit classification problem of MNIST Demonstrate face generation based on the CelebA database, a promising application of generative models Apply deep learning to other domains like language modeling, sentiment analysis, and machine translation Who this book is for This book targets data scientists and machine learning developers who wish to get started with deep learning. If you know what deep learning is but are not quite sure of how to use it, this book will help you as well. An understanding of statistics and data science concepts is required. Some familiarity with Python programming will also be beneficial.","http://books.google.com/books/content?id=M67vtAEACAAJ&printsec=frontcover&img=1&zoom=10&source=gbs_api"
"Deep Learning","Stephane S. Tuffery","A concise and practical exploration of key topics and applications in data science In Deep Learning, from Big Data to Artificial Intelligence, expert researcher Dr. Stéphane Tufféry delivers an insightful discussion of the applications of deep learning and big data that focuses on practical instructions on various software tools and deep learning methods relying on three major libraries: MXNet, PyTorch, and Keras-TensorFlow. In the book, numerous, up-to-date examples are combined with key topics relevant to modern data scientists, including processing optimization, neural network applications, natural language processing, and image recognition. This is a thoroughly revised and updated edition of a book originally released in French, with new examples and methods included throughout. Classroom-tested and intuitively organized, Deep Learning, from Big Data to Artificial Intelligence offers complimentary access to a companion website that provides R and Python source code for the examples offered in the book. Readers will also find: A thorough introduction to practical deep learning techniques with explanations and examples for various programming libraries Comprehensive explorations of a variety of applications for deep learning, including image recognition and natural language processing Discussions of the theory of deep learning, neural networks, and artificial intelligence linked to concrete techniques and strategies commonly used to solve real-world problems Perfect for graduate students studying data science, big data, deep learning, and artificial intelligence, Deep Learning, from Big Data to Artificial Intelligence will also earn a place in the libraries of data science researchers and practicing data scientists.","http://books.google.com/books/content?id=QXCXEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Deep Learning","Christopher M. Bishop, Hugh Bishop","This book offers a comprehensive introduction to the central ideas that underpin deep learning. It is intended both for newcomers to machine learning and for those already experienced in the field. Covering key concepts relating to contemporary architectures and techniques, this essential book equips readers with a robust foundation for potential future specialization. The field of deep learning is undergoing rapid evolution, and therefore this book focusses on ideas that are likely to endure the test of time. The book is organized into numerous bite-sized chapters, each exploring a distinct topic, and the narrative follows a linear progression, with each chapter building upon content from its predecessors. This structure is well-suited to teaching a two-semester undergraduate or postgraduate machine learning course, while remaining equally relevant to those engaged in active research or in self-study. A full understanding of machine learning requires some mathematical background and so the book includes a self-contained introduction to probability theory. However, the focus of the book is on conveying a clear understanding of ideas, with emphasis on the real-world practical value of techniques rather than on abstract theory. Complex concepts are therefore presented from multiple complementary perspectives including textual descriptions, diagrams, mathematical formulae, and pseudo-code. Chris Bishop is a Technical Fellow at Microsoft and is the Director of Microsoft Research AI4Science. He is a Fellow of Darwin College Cambridge, a Fellow of the Royal Academy of Engineering, and a Fellow of the Royal Society. Hugh Bishop is an Applied Scientist at Wayve, a deep learning autonomous driving company in London, where he designs and trains deep neural networks. He completed his MPhil in Machine Learning and Machine Intelligence at Cambridge University. “Chris Bishop wrote a terrific textbook on neural networks in 1995 and has a deep knowledge of the field and its core ideas. His many years of experience in explaining neural networks have made him extremely skillful at presenting complicated ideas in the simplest possible way and it is a delight to see these skills applied to the revolutionary new developments in the field.” -- Geoffrey Hinton ""With the recent explosion of deep learning and AI as a research topic, and the quickly growing importance of AI applications, a modern textbook on the topic was badly needed. The ""New Bishop"" masterfully fills the gap, covering algorithms for supervised and unsupervised learning, modern deep learning architecture families, as well as how to apply all of this to various application areas."" – Yann LeCun “This excellent and very educational book will bring the reader up to date with the main concepts and advances in deep learning with a solid anchoring in probability. These concepts are powering current industrial AI systems and are likely to form the basis of further advances towards artificial general intelligence.” -- Yoshua Bengio","http://books.google.com/books/content?id=0uTgEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Deep Learning","Shriram K Vasudevan, Sini Raj Pulari, Subashri Vasudevan","Deep Learning: A Comprehensive Guide provides comprehensive coverage of Deep Learning (DL) and Machine Learning (ML) concepts. DL and ML are the most sought-after domains, requiring a deep understanding – and this book gives no less than that. This book enables the reader to build innovative and useful applications based on ML and DL. Starting with the basics of neural networks, and continuing through the architecture of various types of CNNs, RNNs, LSTM, and more till the end of the book, each and every topic is given the utmost care and shaped professionally and comprehensively. Key Features Includes the smooth transition from ML concepts to DL concepts Line-by-line explanations have been provided for all the coding-based examples Includes a lot of real-time examples and interview questions that will prepare the reader to take up a job in ML/DL right away Even a person with a non-computer-science background can benefit from this book by following the theory, examples, case studies, and code snippets Every chapter starts with the objective and ends with a set of quiz questions to test the reader’s understanding Includes references to the related YouTube videos that provide additional guidance AI is a domain for everyone. This book is targeted toward everyone irrespective of their field of specialization. Graduates and researchers in deep learning will find this book useful.","http://books.google.com/books/content?id=aIlUEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Deep Learning: Concepts and Architectures","Witold Pedrycz, Shyi-Ming Chen","This book introduces readers to the fundamental concepts of deep learning and offers practical insights into how this learning paradigm supports automatic mechanisms of structural knowledge representation. It discusses a number of multilayer architectures giving rise to tangible and functionally meaningful pieces of knowledge, and shows how the structural developments have become essential to the successful delivery of competitive practical solutions to real-world problems. The book also demonstrates how the architectural developments, which arise in the setting of deep learning, support detailed learning and refinements to the system design. Featuring detailed descriptions of the current trends in the design and analysis of deep learning topologies, the book offers practical guidelines and presents competitive solutions to various areas of language modeling, graph representation, and forecasting.","http://books.google.com/books/content?id=9ia7DwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Deep Learning","Manel Martinez-Ramon, Meenu Ajith, Aswathy Rajendra Kurup","An engaging and accessible introduction to deep learning perfect for students and professionals In Deep Learning: A Practical Introduction, a team of distinguished researchers delivers a book complete with coverage of the theoretical and practical elements of deep learning. The book includes extensive examples, end-of-chapter exercises, homework, exam material, and a GitHub repository containing code and data for all provided examples. Combining contemporary deep learning theory with state-of-the-art tools, the chapters are structured to maximize accessibility for both beginning and intermediate students. The authors have included coverage of TensorFlow, Keras, and Pytorch. Readers will also find: Thorough introductions to deep learning and deep learning tools Comprehensive explorations of convolutional neural networks, including discussions of their elements, operation, training, and architectures Practical discussions of recurrent neural networks and non-supervised approaches to deep learning Fulsome treatments of generative adversarial networks as well as deep Bayesian neural networks Perfect for undergraduate and graduate students studying computer vision, computer science, artificial intelligence, and neural networks, Deep Learning: A Practical Introduction will also benefit practitioners and researchers in the fields of deep learning and machine learning in general.","http://books.google.com/books/content?id=tTYTEQAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Deep Learning For Dummies","John Paul Mueller, Luca Massaron","Take a deep dive into deep learning Deep learning provides the means for discerning patterns in the data that drive online business and social media outlets. Deep Learning for Dummies gives you the information you need to take the mystery out of the topic—and all of the underlying technologies associated with it. In no time, you’ll make sense of those increasingly confusing algorithms, and find a simple and safe environment to experiment with deep learning. The book develops a sense of precisely what deep learning can do at a high level and then provides examples of the major deep learning application types. Includes sample code Provides real-world examples within the approachable text Offers hands-on activities to make learning easier Shows you how to use Deep Learning more effectively with the right tools This book is perfect for those who want to better understand the basis of the underlying technologies that we use each and every day.","http://books.google.com/books/content?id=HdaVDwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Deep Learning for Computer Vision","Jason Brownlee","Step-by-step tutorials on deep learning neural networks for computer vision in python with Keras.","http://books.google.com/books/content?id=DOamDwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Deep Learning for Computer Vision","Rajalingappaa Shanmugamani","Learn how to model and train advanced neural networks to implement a variety of Computer Vision tasks Key Features Train different kinds of deep learning model from scratch to solve specific problems in Computer Vision Combine the power of Python, Keras, and TensorFlow to build deep learning models for object detection, image classification, similarity learning, image captioning, and more Includes tips on optimizing and improving the performance of your models under various constraints Book Description Deep learning has shown its power in several application areas of Artificial Intelligence, especially in Computer Vision. Computer Vision is the science of understanding and manipulating images, and finds enormous applications in the areas of robotics, automation, and so on. This book will also show you, with practical examples, how to develop Computer Vision applications by leveraging the power of deep learning. In this book, you will learn different techniques related to object classification, object detection, image segmentation, captioning, image generation, face analysis, and more. You will also explore their applications using popular Python libraries such as TensorFlow and Keras. This book will help you master state-of-the-art, deep learning algorithms and their implementation. What you will learn Set up an environment for deep learning with Python, TensorFlow, and Keras Define and train a model for image and video classification Use features from a pre-trained Convolutional Neural Network model for image retrieval Understand and implement object detection using the real-world Pedestrian Detection scenario Learn about various problems in image captioning and how to overcome them by training images and text together Implement similarity matching and train a model for face recognition Understand the concept of generative models and use them for image generation Deploy your deep learning models and optimize them for high performance Who this book is for This book is targeted at data scientists and Computer Vision practitioners who wish to apply the concepts of Deep Learning to overcome any problem related to Computer Vision. A basic knowledge of programming in Python--and some understanding of machine learning concepts--is required to get the best out of this book.","http://books.google.com/books/content?id=dgdOswEACAAJ&printsec=frontcover&img=1&zoom=10&source=gbs_api"
